"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2018","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","4,943"
"2019","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","7,282"
"2020","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","7,511"
"2021","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","6,725"
"2012","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","20,362"
"2013","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","18,926"
"2014","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","27,187"
"2015","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","13,756"
"2016","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","8,158"
"2017","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","18,172"
"2018","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","16,215"
"2019","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","16,593"
"2020","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","22,797"
"2021","Arizona","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","26,176"
"2012","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2013","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2014","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2015","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2016","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2017","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2018","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2019","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2020","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2021","Arkansas","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2012","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","37,201"
"2013","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","23,875"
"2014","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","26,185"
"2015","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2016","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2017","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2018","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2019","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2020","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2021","California","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","0"
"2012","Colorado","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","5,700"
"2013","Colorado","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","7,644"
"2014","Colorado","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","7,451"
"2015","Colorado","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","5,170"
"2016","Colorado","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","5,750"
"2017","Colorado","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","4,735"
